,start_time,end_time,duration,start_datetime,Type,cue_start_time,cue_start_type,cue_time2start,cue_end_time,cue_end_type,cue_time2end,files,links,Links_time(s),Vid_times,Links_ctime(s)
0,-688.4,-671.3,17.100000000000023,2021-10-26 17:36:37.600,Entrance,-688.5,Musicians enter hall,0.10000000000002274,-671.4,Musicians seated,0.10000000000002274,concert_begins,https://youtu.be/S4UVJybA6ZQ?t=1294,1294,0,-695
1,-553.2,-547.3,5.900000000000091,2021-10-26 17:38:52.800,Speech,-553.4,Last word V,0.1999999999999318,-547.3,MC starts talking,0.0,clapping_between_speeches_1,https://youtu.be/S4UVJybA6ZQ?t=1430,1430,25,-559
2,33.9,43.3,9.399999999999999,2021-10-26 17:48:39.900,Speech,33.9,Last word MC,0.0,40.6,Violinist pick up instrument ,2.6999999999999957,clapping_after_introduction,https://youtu.be/S4UVJybA6ZQ?t=2018,2018,41,29
3,1613.4,1654.7,41.299999999999955,2021-10-26 18:14:59.400,Music,1613.6,Musicians standing,-0.1999999999998181,1645.0,MC starts talking,9.700000000000045,beethoven_applause,https://youtu.be/S4UVJybA6ZQ?t=3596,3596,57,1607
4,2007.5,2019.3,11.799999999999955,2021-10-26 18:21:33.500,Entrance,2007.5,Musicians enter hall,0.0,2016.6,Begin to sit down,2.7000000000000455,musicians_return_1,https://youtu.be/S4UVJybA6ZQ?t=3990,3990,107,2001
5,3285.4,3345.8,60.40000000000009,2021-10-26 18:42:51.400,Music,3283.6,Release instruments,1.800000000000182,3345.6,Out of sight,0.20000000000027285,schnittke_applause,https://youtu.be/S4UVJybA6ZQ?t=5251,5251,129,3262
6,5004.7,5022.4,17.699999999999818,2021-10-26 19:11:30.700,Entrance,5004.6,Musicians enter hall,0.0999999999994543,5019.6,Begin to sit down,2.7999999999992724,musicians_return_2,https://youtu.be/S4UVJybA6ZQ?t=6990,6990,212,5001
7,6022.5,6044.6,22.100000000000364,2021-10-26 19:28:28.500,Music,6020.6,Release instruments,1.8999999999996362,6043.9,MC starts talking,0.7000000000007276,bach_applause,https://youtu.be/S4UVJybA6ZQ?t=7996,7996,237,6007
8,6761.9,6779.4,17.5,2021-10-26 19:40:47.900,Music,6761.6,Release instruments,0.2999999999992724,6779.6,Violinist plays,-0.2000000000007276,folk_music_1_applause,https://youtu.be/S4UVJybA6ZQ?t=8741,8741,279,6752
9,6936.1,6955.7,19.599999999999454,2021-10-26 19:43:42.100,Music,6935.6,Start to stand,0.5,6955.7,Violinist begins to speak,0.0,folk_music_2_applause,https://youtu.be/S4UVJybA6ZQ?t=8918,8918,303,6929
10,7172.7,7192.1,19.400000000000546,2021-10-26 19:47:38.700,Music,7171.6,Start to stand,1.0999999999994543,7192.9,Violinist begins to speak,-0.7999999999992724,folk_music_3_applause,https://youtu.be/S4UVJybA6ZQ?t=9154,9154,329,7165
11,7540.2,7556.0,15.800000000000182,2021-10-26 19:53:46.200,Music,7539.6,Release instruments,0.5999999999994543,7556.9,Violinist begins to speak,-0.8999999999996362,folk_music_4_applause,https://youtu.be/S4UVJybA6ZQ?t=9509,9509,355,7520
12,7751.1,7764.7,13.599999999999454,2021-10-26 19:57:17.100,Music,7750.6,Release instruments,0.5,7765.7,Violinist begins to speak,-1.0,folk_music_5_applause,https://youtu.be/S4UVJybA6ZQ?t=9731,9731,390,7742
13,7774.4,7779.4,5.0,2021-10-26 19:57:40.400,Speech,7772.7,Last word V,1.699999999999818,7778.2,MC starts talking,1.199999999999818,clapping_between_speeches_2,https://youtu.be/S4UVJybA6ZQ?t=9753,9753,412,7764
14,8045.1,8152.06,106.96000000000004,2021-10-26 20:02:11.100,Music,8045.6,Musicians all standing,-0.5,8148.6,Out of sight,3.4600000000000364,final_applause,https://youtu.be/S4UVJybA6ZQ?t=10026,10026,432,8037
