,start_time,end_time,duration,start_datetime,Type,Texture,event_tag,Applause_N,cue_start_time,cue_start_type,cue_time2start,cue_end_time,cue_end_type,cue_time2end,stage_next_time,stage_next_type,stage_next_time2,files,links,Links_time(s),Vid_times,Links_ctime(s),Ratio clapping,Median number of Claps,STD number of Claps,Median L ICI P Median,Median L ICI P STD,STD L ICI P Median,STD L ICI P STD,Starting L ICI P Median,Starting L ICI P STD,Starting L ICI Quart P Mean,5s ICI Median P Median,5s ICI Median P STD,5s ICI Quart P Median,5s ICI Quart P STD,5-10s ICI Median P Median,5-10s ICI Median P STD,5-10s ICI Quart P Median,5-10s ICI Quart P STD,First clap P Quart,Last clap P Quart
0,-688.4,-672.4,16.0,2021-10-26 17:36:37.600,Entrance,Independent,Entre 1,1,-689.4,Musicians enter hall,1.0,-674.4,Musician toward mic,2.0,-670.4,Start to speak,-2.0,concert_begins,https://youtu.be/S4UVJybA6ZQ?t=1294,1294,0,-692,0.9411764705882353,32.5,9.920060228481926,0.3000000000000007,0.07759332376180994,0.032199074559570925,0.1535759254509206,0.3074999999999999,0.3013528922846599,0.05653125000000011,0.32499999999999973,0.6392203981345591,0.015000000000000124,0.2552001736347144,0.3000000000000007,0.19227776454582232,0.040000000000000036,0.24276247984732222,2.12,1.1799999999999997
1,-553.4,-546.4,7.0,2021-10-26 17:38:52.600,Speech,Independent,Speech 1,2,-554.4,Last word V,1.0,-549.4,MC at Mic,3.0,-547.4,MC starts talking,1.0,clapping_between_speeches_1,https://youtu.be/S4UVJybA6ZQ?t=1430,1430,25,-556,0.8823529411764706,14.0,3.6327836595532523,0.2999999999999998,0.09597076319060607,0.016633299933166243,0.14706792381187364,0.2999999999999998,0.19298933141387326,0.05859999999999994,0.3200000000000003,0.31842612142409865,0.01999999999999963,0.10637378198365652,0.30000000000000004,0.08464136944600831,0.040000000000000036,0.06090400218716265,0.7399999999999998,0.5800000000000001
2,33.6,42.6,9.0,2021-10-26 17:48:39.600,Speech,Independent,Speech 2,3,33.6,Last word MC,0.0,40.6,Violinist pick up instrument,2.0,40.6,Violinist pick up instrument,2.0,clapping_after_introduction,https://youtu.be/S4UVJybA6ZQ?t=2018,2018,41,32,0.9176470588235294,18.0,4.850958826026205,0.30999999999999983,0.10689267883510455,0.025208097519969025,0.1594020636759612,0.3200000000000003,0.23536439646388113,0.08355769230769239,0.33000000000000007,0.4064921384059705,0.009999999999999787,0.3452973027301652,0.3099999999999996,0.15289661623568598,0.040000000000000036,0.15123410080650873,2.56,0.6599999999999984
3,1613.6,1654.6,41.0,2021-10-26 18:14:59.600,Music,Mixed,Beethoven,4,1612.6,Release instruments,1.0,1644.6,MC starts talking,10.0,1644.6,MC starts talking,10.0,beethoven_applause,https://youtu.be/S4UVJybA6ZQ?t=3596,3596,57,1610,0.9529411764705882,94.0,21.254178964542245,0.3200000000000003,0.059933090264410266,0.06423852609839459,0.09536435468349963,0.2999999999999998,0.16044380100109215,0.04768518518518505,0.2999999999999998,0.27984820967066004,0.020000000000000462,0.2819336567197149,0.2999999999999998,0.15817346470476293,0.03250000000000053,0.14040818377010733,1.3199999999999998,6.159999999999997
4,2009.6,2019.6,10.0,2021-10-26 18:21:35.600,Entrance,Independent,Entre 2,5,2009.6,Musicians enter hall,0.0,2017.6,Begin to sit down,2.0,2017.6,Begin to sit down,2.0,musicians_return_1,https://youtu.be/S4UVJybA6ZQ?t=3990,3990,107,2004,0.6,18.0,7.555909257388045,0.29999999999999893,0.16333653458247413,0.06678323142825593,0.19941990874983823,0.31250000000000044,0.29163914836170896,0.11147058823529421,0.4000000000000001,1.1168609857714886,0.04500000000000015,0.312146415349247,0.3000000000000007,0.3940283407742815,0.06999999999999895,0.3754388022270569,4.720000000000001,0.33999999999999986
5,3285.6,3345.6,60.0,2021-10-26 18:42:51.600,Music,Mixed,Schnittke,6,3283.6,Release instruments,2.0,3339.6,Start to leave stage,6.0,3345.6,Off stage,0.0,schnittke_applause,https://youtu.be/S4UVJybA6ZQ?t=5251,5251,127,3265,0.8705882352941177,122.5,34.4532075402448,0.3200000000000003,0.07495787413757132,0.09214190841203163,0.13370729304629217,0.3125000000000001,0.12899076667024992,0.0722635135135134,0.32499999999999996,0.08638795510879273,0.017500000000000016,0.022373381099381966,0.31000000000000005,0.23483926929211885,0.03250000000000075,0.16192618068650416,2.1999999999999993,1.9399999999999977
6,5005.6,5021.6,16.0,2021-10-26 19:11:31.600,Entrance,Independent,Entre 3,7,5005.6,Musicians enter hall,0.0,5018.6,Begin to sit down,3.0,5022.6,MC starts talking,-1.0,musicians_return_2,https://youtu.be/S4UVJybA6ZQ?t=6990,6990,212,5004,0.7294117647058823,28.0,8.470747873707845,0.3200000000000003,0.14614057057162994,0.04935623162480141,0.18125103435113335,0.3400000000000003,0.2902861144212834,0.10681451612903244,0.3600000000000001,0.48035390003730133,0.0775000000000004,0.5629974198619757,0.34000000000000075,0.6809536932353235,0.040000000000000036,0.36602441473274855,6.16,0.8000000000000007
7,6022.6,6044.6,22.0,2021-10-26 19:28:28.600,Music,Independent,Bach,8,6020.6,Release instruments,2.0,6043.6,MC at mic,1.0,6044.6,MC starts talking,0.0,bach_applause,https://youtu.be/S4UVJybA6ZQ?t=7996,7996,237,6010,0.9176470588235294,42.0,11.94515159747446,0.31000000000000016,0.07779729053712861,0.03447189796396415,0.11753276588005557,0.3200000000000003,0.08259717984076127,0.05426282051282057,0.3200000000000003,0.12175493709037988,0.0,0.08675099592579702,0.3199999999999994,0.09799391316578733,0.04499999999999993,0.1110747338111963,1.6599999999999993,1.5
8,6761.6,6778.6,17.0,2021-10-26 19:40:47.600,Music,Independent,Folk 1,9,6759.6,Last note,2.0,6776.6,Violinist ready to play,2.0,6779.6,Violinist plays,-1.0,folk_music_1_applause,https://youtu.be/S4UVJybA6ZQ?t=8741,8741,273,6755,0.8941176470588236,33.0,9.151397170675011,0.3075000000000001,0.06688075274486147,0.03609426845041249,0.11210116265095715,0.3000000000000006,0.08835273681015046,0.03835526315789492,0.3200000000000003,0.060586893551248105,0.020000000000000517,0.28207692037162924,0.30000000000000027,0.06622820727300782,0.03000000000000025,0.056303999421685645,1.3799999999999994,2.7799999999999994
9,6935.6,6955.6,20.0,2021-10-26 19:43:41.600,Music,Independent,Folk 2,10,6934.6,Last note,1.0,6948.6,Violinist at mic,7.0,6955.6,Violinist begins to speak,0.0,folk_music_2_applause,https://youtu.be/S4UVJybA6ZQ?t=8918,8918,303,6932,0.8470588235294118,40.0,10.211141464873036,0.3100000000000003,0.060778361232047086,0.049797252870596,0.11261731674739288,0.29999999999999993,0.17208750033042397,0.04722222222222219,0.2999999999999998,0.07470149747823127,0.020000000000000462,0.04561110115991063,0.3000000000000007,0.09416027262943688,0.034999999999999476,0.09199280437261384,1.0000000000000004,1.9600000000000009
