,start_time,end_time,duration,start_datetime,Type,Type_M,Texture,event_tag,Applause_N,cue_start_time,cue_start_type,cue_time2start,cue_end_time,cue_end_type,cue_time2end,stage_next_time,stage_next_type,stage_next_time2,files,links,Links_time(s),Vid_times,Links_ctime(s),Ratio clapping,Median number of Claps,STD number of Claps,Median L ICI P Median,Median L ICI P STD,STD L ICI P Median,STD L ICI P STD,Starting L ICI P Median,Starting L ICI P STD,Starting L ICI Quart P Mean,5s ICI Median P Median,5s ICI Median P STD,5s ICI Quart P Median,5s ICI Quart P STD,5-10s ICI Median P Median,5-10s ICI Median P STD,5-10s ICI Quart P Median,5-10s ICI Quart P STD,First clap P Quart,Last clap P Quart
0,-691.2,-674.1,17.100000000000023,2021-10-26 17:36:34.800,Entrance,Other,Independent,Entre 1,1,-692.2,Musicians enter hall,1.0,-677.2,Musician toward mic,3.1000000000000227,-673.1,Start to speak,-1.0,Applause_1_entre_1_peaks.csv,https://youtu.be/S4UVJybA6ZQ?t=1294,1294,0,-692,0.9411764705882353,38.0,9.998536285282025,0.3000000000000007,0.061292900243447045,0.040255886448228986,0.08822169247739602,0.2999999999999998,0.0748064750040506,0.05153125000000016,0.30000000000000027,0.21939738208922555,0.0499999999999996,0.2138002885411563,0.2999999999999998,0.07878890980139458,0.03500000000000103,0.07772377416069365,1.68,2.1400000000000006
1,-555.9,-548.6,7.299999999999954,2021-10-26 17:38:50.100,Speech,Other,Independent,Speech 1,2,-556.1,Last word V,0.2000000000000454,-551.9,MC at Mic,3.2999999999999545,-550.6,MC starts talking,2.0,Applause_2_speech_1_peaks.csv,https://youtu.be/S4UVJybA6ZQ?t=1430,1430,25,-556,0.8705882352941177,17.0,4.088909155531801,0.2999999999999998,0.07870718748918899,0.030367494241600484,0.05593532829481808,0.2999999999999998,0.07870718748918899,0.03256756756756757,0.30000000000000016,0.06944856049342853,0.04000000000000037,0.06116907607767964,0.3000000000000007,0.14649040506296035,0.040000000000000036,0.1648364216985049,0.62,1.4399999999999995
2,30.6,40.1,9.5,2021-10-26 17:48:36.600,Speech,Other,Independent,Speech 2,3,31.0,Last word MC,-0.3999999999999986,38.0,Violinist pick up instrument,2.1000000000000014,38.0,Violinist pick up instrument,2.1000000000000014,Applause_3_speech_2_peaks.csv,https://youtu.be/S4UVJybA6ZQ?t=2018,2018,41,32,0.9176470588235294,21.0,6.138212742945269,0.30500000000000016,0.06256753016130093,0.02948080132999833,0.08308930891363611,0.3000000000000007,0.06298801272539883,0.0442207792207793,0.30000000000000027,0.12459358492116984,0.04000000000000034,0.15516702941522037,0.3199999999999994,0.17607416811121485,0.04000000000000048,0.20624463525056852,1.06,1.5200000000000005
3,1610.6,1652.1,41.5,2021-10-26 18:14:56.600,Music,Music,Mixed,Beethoven,4,1609.6,Release instruments,1.0,1626.6,Start to leave stage,25.5,1642.2,MC starts talking,9.899999999999864,Applause_4_beethoven_peaks.csv,https://youtu.be/S4UVJybA6ZQ?t=3596,3596,57,1610,0.9529411764705882,100.0,22.5648927034021,0.3200000000000003,0.055584645161930846,0.04997889850085389,0.0483621831212418,0.2999999999999998,0.06931799598878513,0.04604938271604957,0.2999999999999998,0.080039792734943,0.039999999999999786,0.18242444963480464,0.3000000000000007,0.06450021533125132,0.02000000000000135,0.04738981697671354,1.2000000000000002,6.18
4,2004.8,2016.1,11.299999999999956,2021-10-26 18:21:30.800,Entrance,Other,Independent,Entre 2,5,2004.8,Musicians enter hall,0.0,2012.8,Begin to sit down,3.2999999999999545,2012.8,Begin to sit down,3.2999999999999545,Applause_5_entre_2_peaks.csv,https://youtu.be/S4UVJybA6ZQ?t=3990,3990,107,2004,0.6,20.0,8.794294050299731,0.2999999999999998,0.07456080555821666,0.09126228327094427,0.10243297108167848,0.2999999999999998,0.0903344548081749,0.08970588235294123,0.30500000000000027,0.22972303850202883,0.08000000000000018,0.37007889779338426,0.3000000000000005,0.11666691995919813,0.07999999999999996,0.23446840337420963,6.359999999999999,5.640000000000001
5,3282.6,3342.7,60.09999999999991,2021-10-26 18:42:48.600,Music,Music,Mixed,Schnittke,6,3278.9,Release instruments,3.699999999999818,3336.6,Start to leave stage,6.099999999999909,3344.7,MC at mic,-2.0,Applause_6_schnittke_peaks.csv,https://youtu.be/S4UVJybA6ZQ?t=5251,5251,127,3265,0.8705882352941177,133.5,34.85821495636954,0.3200000000000003,0.06287773671306665,0.06611006361651797,0.06465554655883204,0.30500000000000005,0.07664835170382645,0.061993243243243346,0.31999999999999984,0.1224894330225501,0.03499999999999981,0.08503382483529846,0.32000000000000006,0.22994794266970106,0.029999999999999805,0.2395924319562372,2.0199999999999996,2.6400000000000006
6,5001.92,5019.5,17.579999999999927,2021-10-26 19:11:27.920,Entrance,Other,Independent,Entre 3,7,5001.92,Musicians enter hall,0.0,5014.92,Begin to sit down,4.579999999999927,5019.9,MC starts talking,-0.3999999999996362,Applause_7_entre_3_peaks.csv,https://youtu.be/S4UVJybA6ZQ?t=6990,6990,212,5004,0.7411764705882353,32.0,10.118372616864951,0.3200000000000003,0.08346817048354992,0.04015594601052258,0.09268823235497839,0.3199999999999994,0.1214473283029008,0.07880952380952394,0.33499999999999985,0.3633955780603915,0.07999999999999996,0.40949842287038596,0.3200000000000003,0.2842967548332959,0.05999999999999872,0.2539299847565662,8.5,6.799999999999999
7,6020.1,6042.1,22.0,2021-10-26 19:28:26.100,Music,Music,Independent,Bach,8,6017.2,Release instruments,2.9000000000005457,6037.1,MC towards mic,5.0,6041.1,MC starts talking,1.0,Applause_8_bach_peaks.csv,https://youtu.be/S4UVJybA6ZQ?t=7996,7996,237,6010,0.9176470588235294,51.5,12.960839092564571,0.30999999999999994,0.07386627854594464,0.04381863615924529,0.0820505788334258,0.30999999999999983,0.134749615911809,0.06147435897435873,0.31999999999999984,0.15731908903450934,0.042499999999999816,0.15113056918989606,0.3000000000000007,0.10188572890442489,0.04000000000000081,0.17805907752125213,1.48,2.419999999999998
8,6759.1,6776.2,17.099999999999454,2021-10-26 19:40:45.100,Music,Music,Independent,Folk 1,9,6756.9,Last note,2.200000000000728,6774.1,Violinist ready to play,2.0999999999994543,6776.7,Violinist plays,-0.5,Applause_9_folk_1_peaks.csv,https://youtu.be/S4UVJybA6ZQ?t=8741,8741,273,6755,0.8823529411764706,39.0,10.275046305325178,0.3000000000000007,0.07914509426329562,0.02679456508228309,0.07081841947388956,0.2999999999999998,0.0647070320753471,0.04353333333333349,0.2999999999999998,0.06217273526759532,0.030000000000000027,0.04446098198792156,0.3000000000000007,0.0903293273936399,0.03999999999999915,0.049864952757558055,1.2000000000000002,2.4800000000000004
9,6933.4,6952.6,19.200000000000728,2021-10-26 19:43:39.400,Music,Music,Independent,Folk 2,10,6931.9,Last note,1.5,6940.4,Violinist towards mic,12.200000000000728,6952.9,Violinist begins to speak,-0.2999999999992724,Applause_10_folk_2_peaks.csv,https://youtu.be/S4UVJybA6ZQ?t=8918,8918,303,6932,0.8470588235294118,47.0,11.75292558390921,0.3199999999999994,0.060346182780792464,0.043411272311702914,0.06596070748901244,0.29999999999999993,0.055674437553244346,0.04024305555555545,0.2999999999999998,0.061009944104859416,0.039999999999999813,0.07180428351278702,0.31000000000000005,0.06349067961827412,0.03499999999999992,0.042539365128232184,1.2,2.3000000000000007
10,7170.3,7189.0,18.699999999999815,2021-10-26 19:47:36.300,Music,Music,Independent,Folk 3,11,7168.5,Last note,1.800000000000182,7182.3,Violinist towards mic,6.699999999999818,7190.1,Violinist begins to speak,-1.1000000000003638,Applause_11_folk_3_peaks.csv,https://youtu.be/S4UVJybA6ZQ?t=9154,9154,329,7168,0.8588235294117647,46.0,9.739549681894347,0.3100000000000005,0.0640774300919143,0.037161515858069365,0.060753605050499336,0.30000000000000004,0.05885036684100751,0.05205479452054814,0.30000000000000004,0.14478675431596671,0.039999999999999786,0.15031186606977226,0.3199999999999985,0.08116634553113604,0.034999999999999476,0.07650649587923838,0.88,2.16
11,7537.4,7553.0,15.600000000000364,2021-10-26 19:53:43.400,Music,Music,Independent,Folk 4,12,7532.6,Release instruments,4.799999999999272,7549.4,Violinist toward mic,3.600000000000364,7553.8,Violinist begins to speak,-0.8000000000001819,Applause_12_folk_4_peaks.csv,https://youtu.be/S4UVJybA6ZQ?t=9509,9509,355,7523,0.8470588235294118,38.0,10.100889732886461,0.32,0.08132509771280234,0.031440657482156256,0.06273328812735463,0.31999999999999984,0.07736889345237058,0.03555555555555569,0.31999999999999984,0.11034914369512318,0.035000000000000475,0.13163382904097007,0.3200000000000003,0.08058663184045059,0.025000000000001243,0.043714134479821164,0.88,1.7400000000000002
12,7748.7,7761.7,13.0,2021-10-26 19:57:14.700,Music,Music,Independent,Folk 5,13,7747.6,Release instruments,1.0999999999994543,7756.7,Violinist toward mic,5.0,7762.9,Violinist begins to speak,-1.199999999999818,Applause_13_folk_5_peaks.csv,https://youtu.be/S4UVJybA6ZQ?t=9731,9731,390,7745,0.8352941176470589,33.0,7.642278885211932,0.31999999999999973,0.06872780417268093,0.024360773662740975,0.041380984719935295,0.31000000000000005,0.06314820802732544,0.042922535211267605,0.30000000000000016,0.07070260708019743,0.040000000000000174,0.04642391606102114,0.3200000000000003,0.0767406985168438,0.0349999999999997,0.05384053135790361,1.04,1.4000000000000004
13,7771.3,7776.1,4.800000000000182,2021-10-26 19:57:37.300,Speech,Other,Independent,Speech 3,14,7770.5,Violinist Step away,0.8000000000001819,7775.5,MC starts talking,0.6000000000003638,7775.5,MC starts talking,0.6000000000003638,Applause_14_speech_3_peaks.csv,https://youtu.be/S4UVJybA6ZQ?t=9753,9753,412,7767,0.5411764705882353,9.5,3.452437352291506,0.2849999999999999,0.1423980570781057,0.03338360622217002,0.05771374937078749,0.2849999999999999,0.1423980570781057,0.03630681818181821,0.28500000000000003,0.14267306170752028,0.07750000000000007,0.1052036683738902,,,,,6.18,5.459999999999999
14,8042.6,8149.5,106.89999999999964,2021-10-26 20:02:08.600,Music,Music,Synched,Finale,15,8041.3,Last note,1.300000000000182,8138.8,Start to leave stage,10.699999999999818,8144.8,Out of sight,4.699999999999818,Applause_15_finale_peaks.csv,https://youtu.be/S4UVJybA6ZQ?t=10026,10026,432,8040,0.8705882352941177,253.0,79.50686706444641,0.3400000000000034,0.051379189919394594,0.07087253817006045,0.05439196954647173,0.31999999999999984,0.054979143658523306,0.04952054794520593,0.30000000000000027,0.17758723387823586,0.034999999999999754,0.1447228550882652,0.3200000000000003,0.05609737171981973,0.03999999999999915,0.05765792068575988,0.94,6.519999999999996
