,Type,Type_M,Instance,Time,Event_tag,Participant,Age,Gender,Musicianship,Fan_status,Seat_Zone,KM,AWE,Moved,Clap Count,ICI Median,Average Rate,ICI STD,ICI quartiles,Relative first clap,Relative last clap,Initial 8s ICI Median,Initial 8s ICI quartiles,Music_Exp
0,Entrance,Other,1,-691.2,Entre 1,ADQ001,60.0,Woman,Music-loving nonmusician,7.0,6.0,,,,42,0.2400000000000002,240.7704654895663,0.015524174696260053,0.019999999999999574,6.08,-0.9199999999999982,0.2400000000000002,0.04499999999999993,1
1,Entrance,Other,1,-691.2,Entre 1,ADQ002,84.0,Man,Music-loving nonmusician,7.0,3.0,,,,28,0.379999999999999,135.77023498694518,0.2530615613761874,0.13749999999999996,0.45999999999999996,-2.2799999999999994,0.4400000000000004,0.3499999999999998,1
2,Entrance,Other,1,-691.2,Entre 1,ADQ003,46.0,Man,Music-loving nonmusician,7.0,2.0,,,,60,0.2599999999999998,232.30088495575245,0.012715371495512665,0.009999999999999787,1.0,-0.3200000000000003,0.2599999999999998,0.02000000000000013,1
3,Entrance,Other,1,-691.2,Entre 1,ADQ004,57.0,Man,Music-loving nonmusician,7.0,4.0,,,,48,0.28000000000000025,181.64062500000003,0.2082864033163269,0.015000000000001235,0.8,-0.120000000000001,0.28000000000000025,0.019999999999999907,1
4,Entrance,Other,1,-691.2,Entre 1,ADQ005,47.0,Man,Serious amateur musician,7.0,4.0,,,,41,0.28000000000000025,194.94584837545145,0.08554500989507646,0.015000000000000124,2.7800000000000002,-2.539999999999999,0.29000000000000004,0.020000000000001017,3
5,Entrance,Other,1,-691.2,Entre 1,ADQ006,58.0,Man,Music-loving nonmusician,1.0,4.0,,,,32,0.2949999999999995,203.9660056657225,0.014719601443879769,0.02000000000000035,5.26,-1.799999999999999,0.2999999999999998,0.05999999999999872,1
6,Entrance,Other,1,-691.2,Entre 1,ADQ007,54.0,Man,Music-loving nonmusician,6.0,1.0,,,,41,0.3000000000000007,194.44444444444457,0.010079052613578937,0.019999999999998352,1.2,-3.879999999999999,0.30000000000000016,0.020000000000000462,1
7,Entrance,Other,1,-691.2,Entre 1,ADQ008,37.0,Woman,Nonmusician,1.0,5.0,,,,45,0.2400000000000002,247.9338842975205,0.005773502691896163,0.0,0.54,-3.34,0.2400000000000002,0.02000000000000013,0
8,Entrance,Other,1,-691.2,Entre 1,ADQ009,55.0,Woman,Serious amateur musician,1.0,3.0,,,,40,0.3400000000000005,174.5877788554802,0.01711690701461935,0.019999999999999574,1.14,-2.66,0.33999999999999986,0.04000000000000059,3
9,Entrance,Other,1,-691.2,Entre 1,ADQ010,19.0,Woman,Serious amateur musician,6.0,2.0,,,,35,0.34000000000000075,171.79215270413582,0.011410496492240216,0.019999999999999574,1.68,-2.459999999999999,0.3400000000000005,0.03499999999999992,3
10,Entrance,Other,1,-691.2,Entre 1,ADQ011,56.0,Man,Serious amateur musician,5.0,1.0,,,,48,0.3200000000000003,168.59504132231402,0.07804884434369803,0.0349999999999997,0.0,-0.019999999999999574,0.32000000000000006,0.05500000000000038,3
11,Entrance,Other,1,-691.2,Entre 1,ADQ012,35.0,Man,Semiprofessional musician,6.0,3.0,,,,41,0.35999999999999943,167.4167416741675,0.00860107520160437,8.881784197001252e-16,2.04,-0.7399999999999984,0.3600000000000003,0.02000000000000013,4
12,Entrance,Other,1,-691.2,Entre 1,ADQ013,68.0,Man,Nonmusician,3.0,1.0,,,,17,0.28,217.6165803108805,0.008516306272525772,8.881784197001252e-16,7.140000000000001,-4.899999999999999,0.28000000000000025,0.010000000000000231,0
13,Entrance,Other,1,-691.2,Entre 1,ADQ014,,Woman,Amateur musician,7.0,1.0,,,,39,0.2899999999999996,191.32653061224497,0.06543953952568232,0.0600000000000005,2.12,-2.379999999999999,0.28000000000000025,0.15000000000000036,2
14,Entrance,Other,1,-691.2,Entre 1,ADQ015,81.0,Woman,Music-loving nonmusician,7.0,1.0,,,,27,0.34999999999999964,139.79496738117427,0.2132080361212181,0.20999999999999996,0.9600000000000001,-1.6399999999999988,0.5900000000000003,0.44499999999999995,1
15,Entrance,Other,1,-691.2,Entre 1,ADQ016,62.0,Woman,Music-loving nonmusician,7.0,4.0,,,,44,0.28000000000000014,213.01775147929007,0.01261726603899773,1.5543122344752192e-15,1.3599999999999999,-0.5999999999999979,0.2799999999999999,0.025000000000000022,1
16,Entrance,Other,1,-691.2,Entre 1,ADQ019,72.0,Man,Serious amateur musician,7.0,3.0,,,,40,0.31499999999999995,174.09326424870468,0.09852550498360893,0.12000000000000033,2.2600000000000002,-2.299999999999999,0.2999999999999998,0.10999999999999988,3
17,Entrance,Other,1,-691.2,Entre 1,ADQ020,36.0,Man,Music-loving nonmusician,7.0,3.0,,,,33,0.3000000000000007,190.75144508670522,0.03390845838111122,0.007499999999999396,3.4000000000000004,-1.4799999999999986,0.2999999999999998,0.020000000000000462,1
18,Entrance,Other,1,-691.2,Entre 1,ADQ021,,Man,Music-loving nonmusician,1.0,4.0,,,,34,0.2799999999999996,213.4062927496581,0.0153171598090307,0.027500000000000302,1.64,-1.5199999999999996,0.29000000000000004,0.0400000000000002,1
19,Entrance,Other,1,-691.2,Entre 1,ADQ022,71.0,Man,Serious amateur musician,7.0,1.0,,,,42,0.33000000000000007,180.93385214007782,0.024643697530139015,0.04999999999999938,2.14,-1.459999999999999,0.30999999999999983,0.08500000000000008,3
20,Entrance,Other,1,-691.2,Entre 1,ADQ023,21.0,Man,Professional musician,7.0,6.0,,,,45,0.26000000000000156,202.58192651439907,0.11100135696365075,0.017500000000000127,1.02,-0.1999999999999993,0.27000000000000024,0.05500000000000044,5
21,Entrance,Other,1,-691.2,Entre 1,ADQ024,35.0,Woman,Music-loving nonmusician,1.0,6.0,,,,26,0.3199999999999985,171.06652587117216,0.14376599378386043,0.059999999999999165,2.04,-3.119999999999999,0.3599999999999999,0.10999999999999988,1
22,Entrance,Other,1,-691.2,Entre 1,ADQ025,65.0,Woman,Music-loving nonmusician,7.0,1.0,,,,33,0.33999999999999986,177.5147928994083,0.021015867021530577,0.03999999999999915,4.42,-2.139999999999999,0.33999999999999986,0.02999999999999936,1
23,Entrance,Other,1,-691.2,Entre 1,ADQ026,60.0,Woman,Music-loving nonmusician,7.0,5.0,,,,41,0.3799999999999999,168.22429906542058,0.0613222363149508,0.09999999999999964,0.30000000000000004,-1.8599999999999994,0.3199999999999996,0.054999999999999716,1
24,Entrance,Other,1,-691.2,Entre 1,ADQ027,,Man,Music-loving nonmusician,6.0,1.0,,,,48,0.31999999999999984,191.86046511627907,0.02362106148026701,0.03000000000000025,0.44000000000000006,-2.1799999999999997,0.3199999999999996,0.020000000000000462,1
25,Entrance,Other,1,-691.2,Entre 1,ADQ028,70.0,Man,Music-loving nonmusician,1.0,1.0,,,,38,0.37499999999999956,157.20524017467255,0.06597195503071512,0.030000000000001026,0.8200000000000001,-1.3399999999999999,0.3600000000000003,0.0600000000000005,1
26,Entrance,Other,1,-691.2,Entre 1,ADQ029,,Woman,Music-loving nonmusician,7.0,1.0,,,,43,0.31999999999999984,178.10760667903523,0.06055855604022786,0.02999999999999936,0.36,-2.539999999999999,0.33000000000000007,0.025000000000000244,1
27,Entrance,Other,1,-691.2,Entre 1,ADQ030,62.0,Woman,Nonmusician,7.0,2.0,,,,44,0.2599999999999998,232.14285714285725,0.009248700532423899,0.0,3.16,-2.959999999999999,0.2599999999999998,0.040000000000000036,0
28,Entrance,Other,1,-691.2,Entre 1,ADQ031,21.0,Woman,Professional musician,7.0,6.0,,,,35,0.3000000000000007,195.8650707290533,0.021890532252525255,0.020000000000000462,2.7800000000000002,-1.120000000000001,0.30000000000000004,0.06499999999999984,5
29,Entrance,Other,1,-691.2,Entre 1,ADQ032,,Man,Music-loving nonmusician,6.0,1.0,,,,43,0.2999999999999998,168.22429906542058,0.1573998495668854,1.2212453270876722e-15,2.44,-0.019999999999999574,0.2999999999999998,0.015000000000000568,1
30,Entrance,Other,1,-691.2,Entre 1,ADQ033,,Woman,Music-loving nonmusician,7.0,2.0,,,,20,0.28000000000000114,214.2857142857136,5.324442579404919e-16,0.0,1.3599999999999999,-4.68,2.8999999999999995,1.67,1
31,Entrance,Other,1,-691.2,Entre 1,ADQ034,66.0,Woman,Nonmusician,3.0,1.0,,,,24,0.4399999999999995,127.76831345826241,0.14524347374896626,0.05999999999999961,4.22,-2.039999999999999,0.4299999999999997,0.11499999999999955,0
32,Entrance,Other,1,-691.2,Entre 1,ADQ035,22.0,Man,Professional musician,6.0,6.0,,,,23,0.4149999999999998,130.56379821958464,0.2421624262610546,0.3150000000000004,2.2,-3.959999999999999,0.28000000000000025,0.22000000000000064,5
33,Entrance,Other,1,-691.2,Entre 1,ADQ036,,Woman,Music-loving nonmusician,5.0,1.0,,,,42,0.2999999999999998,202.65379975874558,0.013148520748875195,0.02000000000000024,1.5999999999999999,-3.3599999999999994,0.30000000000000027,0.020000000000000462,1
34,Entrance,Other,1,-691.2,Entre 1,ADQ037,65.0,Woman,Music-loving nonmusician,5.0,4.0,,,,22,0.3100000000000002,145.79439252336437,0.20677896039379448,0.1524999999999994,1.88,-2.0,0.33999999999999986,0.34000000000000075,1
35,Entrance,Other,1,-691.2,Entre 1,ADQ038,58.0,Choose Not to Identify,Amateur musician,4.0,5.0,,,,34,0.27000000000000046,196.38826185101584,0.12117243341903171,0.020000000000000462,2.6,-2.039999999999999,0.2999999999999998,0.24999999999999978,2
