concert_time,Applause_N,Event,Actor,Event_Type,Montage_time,Stream_time,Stream_Time_old,concert_time_old
-692.4,1,Analysis,Montage,seg,0,1294,,
-689.4,1,Musicians enter hall,Musicians,Stage_act,3,1297,945.9,-688.5
-688.4,1,Clapping Start,Audience,First_Clap,4,1298,946,-688.4
-678.4,1,Bow,Musicians,Stage_act,14,1308,,
-674.4,1,Musician toward mic,Musicians,Stage_act,18,1312,961,-673.4
-674.4,1,Sit,Musicians,Stage_act,18,1312,,
-672.4,1,Clapping End,Audience,Last_Clap,20,1314,963.1,-671.3
-671.4,1,At microphone,Musicians,Stage_act,21,1315,,
-670.4,1,Start to speak,Musicians,Stage_act,22,1316,,
-556.4,2,Analysis,Montage,seg,25,1430,,
-554.4,2,Last word V,Musicians,Stage_act,27,1432,1081,-553.4
-553.4,2,Clapping Start,Audience,First_Clap,28,1433,1081.2,-553.2
-550.4,2,MC towards mic,MC,Stage_act,31,1436,1084.1,-550.3
-549.4,2,MC at Mic,MC,Stage_act,32,1437,,
-547.4,2,MC starts talking,MC,Stage_act,34,1439,1087.1,-547.3
-546.4,2,Clapping End,Audience,Last_Clap,35,1440,1087.1,-547.3
31.6,3,Analysis,Montage,seg,41,2018,,
33.6,3,Clapping Start,Audience,First_Clap,43,2020,1668.3,33.9
33.6,3,Last word MC,MC,Stage_act,43,2020,1668.3,33.9
40.6,3,Violinist pick up instrument,Musicians,Stage_act,50,2027,1675,40.6
42.6,3,Clapping End,Audience,Last_Clap,52,2029,1677.7,43.3
1609.6,4,Analysis,Montage,seg,57,3596,,
1610.6,4,Last Note,Music,Stage_act,58,3597,3244.8,1610.4
1611.6,4,Silence,Music,Stage_act,59,3598,3246.1,1611.7
1612.6,4,Release instruments,Musicians,Stage_act,60,3599,3247,1612.6
1613.6,4,Clapping Start,Audience,First_Clap,61,3600,3247.8,1613.4
1613.6,4,Musicians standing,Musicians,Stage_act,61,3600,3248,1613.6
1618.6,4,bow,Musicians,Stage_act,66,3605,,
1626.6,4,bow,Musicians,Stage_act,74,3613,,
1629.6,4,Start to leave stage,Musicians,Stage_act,77,3616,3264,1629.6
1632.6,4,Claps in synch,Audience,Audience_sync,80,3619,3267,1632.6
1641.6,4,Off stage,Musicians,Stage_act,89,3628,,
1644.6,4,MC starts talking,MC,Stage_act,92,3631,3279.4,1645
1654.6,4,Clapping End,Audience,Last_Clap,102,3641,3289.1,1654.7
2003.6,5,Analysis,Montage,seg,107,3990,,
2009.6,5,Clapping Start,Audience,First_Clap,113,3996,3641.9,2007.5
2009.6,5,Musicians enter hall,Musicians,Stage_act,113,3996,3641.9,2007.5
2015.6,5,bow,Musicians,Stage_act,119,4002,,
2017.6,5,Begin to sit down,Musicians,Stage_act,121,4004,3651,2016.6
2019.6,5,Clapping End,Audience,Last_Clap,123,4006,3653.7,2019.3
3264.6,6,Analysis,Montage,seg,127,5251,,
3271.6,6,Silence,Music,Stage_act,134,5258,4908.3,3273.9
3283.6,6,Release instruments,Musicians,Stage_act,146,5270,4918,3283.6
3285.6,6,Clapping Start,Audience,First_Clap,148,5272,4919.8,3285.4
3287.6,6,Stand,Musicians,Stage_act,150,5274,,
3297.6,6,bow,Musicians,Stage_act,160,5284,,
3302.6,6,Start to leave stage,Musicians,Stage_act,165,5289,4936,3301.6
3307.6,6,Claps in synch,Audience,Audience_sync,170,5294,4941.8,3307.4
3311.6,6,Off stage,Musicians,Stage_act,174,5298,4948,3313.6
3322.6,6,Claps in synch,Audience,Audience_sync,185,5309, ,3321.6
3322.6,6,Musicians enter hall,Musicians,Stage_act,185,5309,4957,3322.6
3330.6,6,bow,Musicians,Stage_act,193,5317,,
3336.6,6,bow,Musicians,Stage_act,199,5323,,
3339.6,6,Start to leave stage,Musicians,Stage_act,202,5326,4972,3337.6
3345.6,6,Clapping End,Audience,Last_Clap,208,5332,4980.2,3345.8
3345.6,6,Off stage,Musicians,Stage_act,208,5332,4980,3345.6
3345.6,6,MC towards mic,MC,Stage_act,208,5332,,
3347.6,6,MC at mic,MC,Stage_act,210,5334,,
5003.6,7,Analysis,Montage,seg,212,6990,,
5005.6,7,Clapping Start,Audience,First_Clap,214,6992,6639.1,5004.7
5005.6,7,Musicians enter hall,Musicians,Stage_act,214,6992,6639,5004.6
5013.6,7,bow,Musicians,Stage_act,222,7000,,
5018.6,7,Begin to sit down,Musicians,Stage_act,227,7005,6654,5019.6
5021.6,7,Clapping End,Audience,Last_Clap,230,7008,6656.8,5022.4
5022.6,7,MC starts talking,MC,Stage_act,231,7009,,
6009.6,8,Analysis,Montage,seg,237,7996,,
6013.6,8,Last note,Music,Stage_act,241,8000,7648.2,6013.8
6015.6,8,Silence,Music,Stage_act,243,8002,7649.6,6015.2
6020.6,8,Release instruments,Musicians,Stage_act,248,8007,7655,6020.6
6022.6,8,Clapping Start,Audience,First_Clap,250,8009,7656.9,6022.5
6022.6,8,Start to stand,Musicians,Stage_act,250,8009,7656,6021.6
6028.6,8,bow,Musicians,Stage_act,256,8015, ,
6035.6,8,Musicians start to sit,Musicians,Stage_act,263,8022,7670,6035.6
6039.6,8,MC towards mic,Musicians,Stage_act,267,8026,7674.3,6039.9
6043.6,8,MC at mic,MC,Stage_act,271,8030,,
6044.6,8,Clapping End,Audience,Last_Clap,272,8031,7679,6044.6
6044.6,8,MC starts talking,MC,Stage_act,272,8031,7678.3,6043.9
6754.6,9,Analysis,Montage,seg,273,8741,,
6759.6,9,Last note,Music,Stage_act,278,8746,8394.1,6759.7
6761.6,9,Clapping Start,Audience,First_Clap,280,8748,8396.3,6761.9
6761.6,9,Release instruments,Musicians,Stage_act,280,8748,8396,6761.6
6762.6,9,Start to stand,Musicians,Stage_act,281,8749,,
6765.6,9,bow,Musicians,Stage_act,284,8752,,
6769.6,9,Musicians start to sit,Musicians,Stage_act,288,8756,8407,6772.6
6776.6,9,Violinist ready to play,Musicians,Stage_act,295,8763,8410,6775.6
6778.6,9,Clapping End,Audience,Last_Clap,297,8765,8413.8,6779.4
