concert_time,Applause_N,Event,Actor,Event_Type,Montage_time,Stream_time,Stream_since,Stream_Time_old,early_concert_time,old_concert_time,Concert_audi0_time
-695.2,1,Analysis,Montage,seg,0,1294,,,,-692.4,
-692.2,1,Enter hall,Musicians,Stage_act,3,1297,3,945.9,-688.5,-689.4,
-691.2,1,Clapping Start,Audience,First_Clap,4,1298,1,946,-688.4,-688.4,-691.2
-681.2,1,Bow,Musicians,Stage_act,14,1308,10,,,-678.4,
-677.2,1,Vn toward mic,Musicians,Stage_act,18,1312,4,961,-673.4,-674.4,
-677.2,1,Sit,Musicians,Stage_act,18,1312,0,,,-674.4,
-674.1,1,Clapping End,Audience,Last_Clap,20,1314,2,963.1,-671.3,-672.4,-674.1
-673.1,1,At microphone,Musicians,Stage_act,21,1315,1,,,-671.4,
-673.1,1,Start to speak,Musicians,Stage_act,22,1316,1,,,-670.4,-673.1
-559.1,2,Analysis,Montage,seg,25,1430,114,,,-556.4,
-556.1,2,Last word Vn,Musicians,Stage_act,27,1432,2,1081,-553.4,-554.4,-556.1
-555.9,2,Clapping Start,Audience,First_Clap,28,1433,1,1081.2,-553.2,-553.4,-555.9
-552.9,2,MC towards mic,MC,Stage_act,31,1436,3,1084.1,-550.3,-550.4,
-551.9,2,MC at Mic,MC,Stage_act,32,1437,1,,,-549.4,
-550.6,2,MC starts talking,MC,Stage_act,34,1439,2,1087.1,-547.3,-547.4,-550.6
-548.6,2,Clapping End,Audience,Last_Clap,35,1440,1,1087.1,-547.3,-546.4,-548.6
29.6,3,Analysis,Montage,seg,41,2018,578,,,31.6,29.6
30.6,3,Clapping Start,Audience,First_Clap,43,2020,2,1668.3,33.9,33.6,30.6
31.0,3,Last word MC,MC,Stage_act,43,2020,0,1668.3,33.9,33.6,31.0
38,3,Vn pick up instrument,Musicians,Stage_act,50,2027,7,1675,40.6,40.6,
40.1,3,Clapping End,Audience,Last_Clap,52,2029,2,1677.7,43.3,42.6,40.1
1607.1,4,Analysis,Montage,seg,57,3596,1567,,,1609.6,
1607.6,4,Last Note,Music,Stage_act,58,3597,1,3244.8,1610.4,1610.6,1607.6
1608.6,4,Silence,Music,Stage_act,59,3598,1,3246.1,1611.7,1611.6,
1609.6,4,Release instruments,Musicians,Stage_act,60,3599,1,3247,1612.6,1612.6,
1610.6,4,Clapping Start,Audience,First_Clap,61,3600,1,3247.8,1613.4,1613.6,1610.6
1610.6,4,Standing,Musicians,Stage_act,61,3600,0,3248,1613.6,1613.6,
1615.6,4,Bow,Musicians,Stage_act,66,3605,5,,,1618.6,
1623.6,4,Bow,Musicians,Stage_act,74,3613,8,,,1626.6,
1626.6,4,Start to leave,Musicians,Stage_act,77,3616,3,3264,1629.6,1629.6,
1629.6,4,Claps in synch,Audience,Audience_sync,80,3619,3,3267,1632.6,1632.6,
1638.6,4,Off stage,Musicians,Stage_act,89,3628,9,,,1641.6,
1642.2,4,MC talking,MC,Stage_act,92,3631,3,3279.4,1645,1644.6,1642.2
1652.1,4,Clapping End,Audience,Last_Clap,102,3641,10,3289.1,1654.7,1654.6,1652.1
2001.1,5,Analysis,Montage,seg,107,3990,349,,,2003.6,
2004.8,5,Clapping Start,Audience,First_Clap,113,3996,6,3641.9,2007.5,2009.6,2004.8
2004.8,5,Enter hall,Musicians,Stage_act,113,3996,0,3641.9,2007.5,2009.6,
2010.8,5,Bow,Musicians,Stage_act,119,4002,6,,,2015.6,
2012.8,5,Begin to sit,Musicians,Stage_act,121,4004,2,3651,2016.6,2017.6,
2016.1,5,Clapping End,Audience,Last_Clap,123,4006,2,3653.7,2019.3,2019.6,2016.1
3261.1,6,Analysis,Montage,seg,127,5251,1245,,,3264.6,
3266.9,6,Silence,Music,Stage_act,134,5258,7,4908.3,3273.9,3271.6,3266.9
3278.9,6,Release instruments,Musicians,Stage_act,146,5270,12,4918,3283.6,3283.6, 
3282.6,6,Clapping Start,Audience,First_Clap,148,5272,2,4919.8,3285.4,3285.6,3282.6
3284.6,6,Stand,Musicians,Stage_act,150,5274,2,,,3287.6,
3294.6,6,Bow,Musicians,Stage_act,160,5284,10,,,3297.6,
3299.6,6,Start to leave,Musicians,Stage_act,165,5289,5,4936,3301.6,3302.6,
3304.6,6,Claps in synch,Audience,Audience_sync,170,5294,5,4941.8,3307.4,3307.6,
3308.6,6,Off stage,Musicians,Stage_act,174,5298,4,4948,3313.6,3311.6,
3319.6,6,Claps in synch,Audience,Audience_sync,185,5309,11, ,3321.6,3322.6,
3319.6,6,Enter hall,Musicians,Stage_act,185,5309,0,4957,3322.6,3322.6,
3327.6,6,Bow,Musicians,Stage_act,193,5317,8,,,3330.6,
3333.6,6,Bow,Musicians,Stage_act,199,5323,6,,,3336.6,
3336.6,6,Start to leave,Musicians,Stage_act,202,5326,3,4972,3337.6,3339.6,
