,start_time_concert,start_time,end_time_concert,end_time,tag
0,-691.23,946.0,-674.1,963.13,"When musicians appear, before the introduction"
1,-556.04,1081.19,-548.1100000000001,1089.12,Between Frederik & Simon talks
2,30.839999999999925,1668.07,40.37999999999988,1677.61,"After the introduction, before the concert begins"
3,1610.37,3247.6,1651.88,3289.11,Beethoven
4,2004.46,3641.69,2016.13,3653.36,Musicians back to stage for Schnittke
5,3282.370000000001,4919.6,3342.99,4980.22,Schnittke
6,5002.3600000000015,6639.59,5019.459999999999,6656.69,Musicians back after intermission
7,6019.459999999999,7656.69,6041.790000000001,7679.02,Bach
8,6758.98,8396.21,6776.310000000001,8413.54,Folk Music 1
9,6933.26,8570.49,6952.800000000001,8590.03,Folk Music 2
10,7170.120000000001,8807.35,7189.23,8826.46,Folk Music 3
11,7537.23,9174.46,7553.130000000001,9190.36,Folk Music 4
12,7748.26,9385.49,7761.880000000001,9399.11,Folk Music 5
13,7771.890000000001,9409.12,7776.210000000001,9413.44,A short clapping between speeches
14,8042.26,9679.49,8149.280000000002,9786.51,Final
